Membr id,trdr id,scrp code,scrp id,rate,qty,trd status,Cm code,Time,Date,Clnt id,Ordr id,Trns typ/Ordr typ,B/S,Trade ID,Clnt typ,ISIN,scrp group,Sett No,Ord Time,Ao/Po flag,Location id,Trd modi. time/time,Sessn Id or trdr Id,CP Code,CP code Confrn,Old Cust Prtcpnt,Old Cust code
6758,1040,532648,YESBANK,2112,5000,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,68400,OWN,INE528G01035,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1040,,N,,
6758,1029,532648,YESBANK,2113,10,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,70000,OWN,INE528G01035,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1029,,N,,
6758,1029,532648,YESBANK,2113,684,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,71200,OWN,INE528G01035,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1029,,N,,
6758,1029,532648,YESBANK,2113,5201,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,71600,OWN,INE528G01035,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1029,,N,,
6758,1153,544028,TATATECH,76015,17,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,201800,OWN,INE142M01025,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1153,,N,,
6758,1026,500124,DRREDDY,124920,1,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,202000,OWN,INE089A01031,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1026,,N,,
6758,1026,500124,DRREDDY,124920,2,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,202400,OWN,INE089A01031,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1026,,N,,
6758,1026,500124,DRREDDY,124920,2,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,202600,OWN,INE089A01031,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1026,,N,,
6758,1026,500124,DRREDDY,124920,2,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,202800,OWN,INE089A01031,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1026,,N,,
6758,1026,500124,DRREDDY,124920,1,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,203000,OWN,INE089A01031,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1026,,N,,
6758,1026,500124,DRREDDY,124920,2,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,203200,OWN,INE089A01031,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1026,,N,,
6758,1026,500124,DRREDDY,124920,1,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,203400,OWN,INE089A01031,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1026,,N,,
6758,1026,500124,DRREDDY,124920,22,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,203600,OWN,INE089A01031,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1026,,N,,
6758,1040,500124,DRREDDY,124945,10,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,204300,OWN,INE089A01031,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1040,,N,,
6758,1040,500124,DRREDDY,124945,4,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,204500,OWN,INE089A01031,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1040,,N,,
6758,1040,500124,DRREDDY,124945,19,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,204700,OWN,INE089A01031,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1040,,N,,
6758,1033,500124,DRREDDY,124970,33,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,204900,OWN,INE089A01031,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1033,,N,,
6758,1039,500124,DRREDDY,124995,33,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,205100,OWN,INE089A01031,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1039,,N,,
6758,1024,500124,DRREDDY,125020,13,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,205300,OWN,INE089A01031,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1024,,N,,
6758,1028,500124,DRREDDY,125045,1,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,210000,OWN,INE089A01031,A,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1028,,N,,
6758,1027,500470,TATASTEEL,15790,383,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,213600,OWN,INE081A01020,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1027,,N,,
6758,1013,500124,DRREDDY,125145,1,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,224800,OWN,INE089A01031,A,644/20252026,9:15:01,1,3.8205E+15,9:15:01,1013,,N,,
6758,1029,534742,ZUARI,21995,14,11,52119,9:15:01,4/6/2025,OWN,1.74901E+18,L,S,356800,OWN,INE840M01016,B,644/20252026,9:15:00,1,3.8205E+15,9:15:01,1029,,N,,
6758,1029,543232,CAMS,421195,5,11,52119,9:15:02,4/6/2025,OWN,1.74901E+18,L,S,27000,OWN,INE596I01012,A,644/20252026,9:15:01,1,3.8205E+15,9:15:02,1029,,N,,
6758,1033,500219,JISLJALEQS,6098,126,11,52119,9:15:02,4/6/2025,OWN,1.74901E+18,L,S,30600,OWN,INE175A01038,A,644/20252026,9:15:01,1,3.8205E+15,9:15:02,1033,,N,,
